n,selectsort,mergesort,quicksort
1982,1435489,89227,320599
1983,1269755,84938,351502
1984,1404431,85100,304147
1985,1322549,85385,304330
1986,1428566,181704,409272
1987,1277614,85025,304631
1988,1276575,169388,334374
1989,1394537,87882,313696
1990,1332184,88353,317227
1991,1314006,88556,326393
1992,1350488,87463,331826
1993,1266487,87560,312428
1994,1335151,87577,357929
1995,1307634,87602,396195
1996,1308545,87198,317064
1997,1302586,87843,318053
1998,1307484,88226,316180
1999,1312121,89835,326682
2000,1432632,85119,309190
2001,1253552,89658,322420
2002,1382957,90574,370078
2003,1296606,85161,306423
2004,1425974,88216,316978
2005,1276391,86967,313649
2006,1292320,88886,318146
2007,1290441,85208,306521
2008,1294936,84974,305802
2009,1699108,145715,500441
2010,1254515,86056,372159
2011,1307637,84897,327497
2012,1325528,90095,348824
2013,1403001,94966,347403
2014,1397727,85251,308753
2015,1255951,84734,306941
2016,1255954,85218,307789
2017,1329055,139186,365236
2018,1518861,87620,318857
2019,1297335,87552,348957
2020,1392964,87941,317772
2021,1491672,90346,365931
2022,1429771,96120,347954
2023,1392922,92828,358000
2024,1481638,100371,376459
2025,1391432,90805,328828
2026,1429123,87866,319201
2027,1345059,112184,323188
2028,1304382,88109,318419
2029,1479443,89429,340898
2030,1339407,85458,312513
2031,1404593,85338,311602
2032,1374165,87888,320952
2033,1344952,98021,320891
2034,1358638,88292,319708
2035,1328088,88212,321751
2036,1390541,93731,325248
2037,1440017,88040,341741
2038,1456058,92699,340045
2039,1467770,94115,348007
2040,1322970,87811,322367
2041,1490554,88915,360750
2042,1313125,87535,316691
2043,1503086,85311,395553
2044,1399305,111095,404052
2045,1404620,88125,323595
2046,1375890,87924,322860
2047,1332015,87458,321740
2048,1360528,87767,326005
2049,1333448,88299,322444
2050,1332458,88212,330857
2051,1355339,88089,323460
2052,1345257,88527,376150
2053,1354007,88872,324107
2054,1482877,89075,326001
2055,1335069,89052,324036
2056,1977131,86589,374931
2057,1560085,86983,316687
2058,1396813,88877,324999
2059,1380318,91234,351856
2060,1459109,92420,339925
2061,1383038,89070,324265
2062,1464899,89176,324644
2063,1368575,89282,324241
2064,1552383,89633,342953
2065,1349989,90235,326872
2066,1407049,95538,345142
2067,1527908,101469,371070
2068,1503301,95717,346866
2069,1506901,105216,446715
2070,1402934,90085,331830
2071,1421861,90416,333831
2072,1450432,100429,337838
2073,1421331,90747,328224
2074,1400418,101183,366411
2075,1414579,94345,356387
2076,1411676,91146,329432
2077,1516995,92057,330932
2078,1516362,90844,329574
2079,1479073,91133,329204
2080,1385303,91596,331018
2081,1374244,91393,328156
2082,1421144,91390,346893
2083,1386810,89123,321243
2084,1615361,107230,364096
2085,1424099,92600,329087
2086,1391660,92289,475930
2087,1428795,146470,341911
2088,1377270,91728,329331
2089,1461157,91702,329190
2090,1399615,92057,374804
2091,1424511,89495,321428
2092,1345377,89204,320193
2093,1349287,88970,319793
2094,1515117,150978,479118
2095,1476139,180994,407633
2096,1488529,97330,350143
2097,1572363,97886,375469
2098,1438445,89842,321716
2099,1693598,153417,323598
2100,1359845,89816,321701
2101,1617249,90675,325437
2102,1360035,89868,323214
2103,1584309,127981,323618
2104,1509171,90296,323194
2105,1511935,90223,445487
2106,1481924,92812,332382
2107,1365267,90292,323192
2108,1715203,89999,323187
2109,1498530,90437,323879
2110,1369253,89825,415344
2111,1437684,90222,324639
2112,1687593,91369,328947
2113,1441812,90127,325558
2114,1543557,96337,344764
2115,1637924,104891,376554
2116,1569583,102005,365460
2117,1436335,93364,340940
2118,1439606,93741,334760
2119,1425604,94585,396449
2120,1512248,94571,336197
2121,1455929,99387,373885
2122,1554241,96682,345126
2123,1496442,96622,356776
2124,1425012,93853,335319
2125,1432080,94352,347380
2126,1429807,94228,336231
2127,1624721,95173,344168
2128,1494432,91673,391344
2129,1473321,96140,337576
2130,1663689,112008,381957
2131,1584059,92396,327796
2132,1488780,112692,348825
2133,1428086,93817,333277
2134,1708631,92659,327951
2135,1434768,108170,399066
2136,1489492,95418,338270
2137,1601346,95181,337657
2138,1481678,92825,329145
2139,1425366,92979,329634
2140,1481587,95216,338215
2141,1490017,95408,338885
2142,1407564,92690,328697
2143,1499232,93219,328544
2144,1410224,93079,350827
2145,1490505,96041,353063
2146,1575076,93153,329977
2147,1647455,113174,419940
2148,1848769,96893,344808
2149,1621724,95567,340466
2150,1557040,131875,378052
2151,1583334,104336,388764
2152,1530404,96416,350788
2153,1439327,93751,330548
2154,1549963,92024,586853
2155,1570079,114117,432108
2156,1446992,96618,350761
2157,1706060,94464,408912
2158,1522015,94462,333236
2159,1616987,102229,346715
2160,1497214,97144,343582
2161,1508835,97352,342619
2162,1631571,97934,363889
2163,1634662,98203,341785
2164,1527100,108205,368388
2165,1572776,97797,375833
2166,1550847,97945,369667
2167,1606691,103818,463761
2168,1642450,103546,353882
2169,1557847,98375,361917
2170,1618983,98177,344518
2171,1502100,97981,343606
2172,1525255,98403,343914
2173,1493727,98157,344837
2174,2044947,95430,471957
2175,1690708,101499,360328
2176,1661961,103162,361530
2177,1629458,98842,344959
2178,1494862,98474,362809
2179,1496971,139385,371197
2180,1500800,98637,343822
2181,1541411,99027,345675
2182,1460084,96767,335198
2183,1465874,95784,556738
2184,1500735,99863,347042
2185,1550779,99208,343912
2186,1529658,99600,346068
2187,1510084,99601,364637
2188,1512462,96867,422812
2189,1470412,96703,335101
2190,1577599,107669,368340
2191,1578206,120955,377380
2192,1580146,106629,361972
2193,1677235,97137,337238
2194,1543457,97332,336514
2195,1552642,100690,370201
2196,1660890,109341,393243
2197,1798546,113089,412658
2198,1790649,109563,382506
2199,1913173,115759,409474
2200,1726408,128915,452448
2201,1518000,160454,341141
2202,1677039,98368,426485
2203,1529366,101115,347487
2204,1567048,102127,355428
2205,1541152,101960,374108
2206,1533704,102044,350392
2207,1823829,145309,567976
2208,1816041,98959,340743
2209,1585451,102829,356315
2210,1585184,101875,349738
2211,1564462,130553,353443
2212,1627440,102125,350015
2213,1562293,101757,350423
2214,1636081,107655,393107
2215,1568620,101890,350475
2216,1553179,101833,384324
2217,1636351,102750,351899
2218,1616168,108418,373797
2219,1759093,114752,444763
2220,1758832,108339,376716
2221,1744923,123013,398458
2222,1882470,118306,409775
2223,1760747,114265,424907
2224,1839453,123637,421078
2225,1683454,102958,370966
2226,1586502,121447,361641
2227,1709932,132096,399129
2228,1659747,102629,351530
2229,1544370,100073,342503
2230,1654451,109034,372341
2231,1740360,125617,383863
2232,1646605,119273,342512
2233,1671931,100076,341722
2234,1523591,100186,342097
2235,1533307,99850,341594
2236,1823867,100467,428715
2237,1622092,103113,352231
2238,1697768,105478,358274
2239,1582085,103906,352995
2240,1775660,100444,343812
2241,1777761,104201,433570
2242,1932387,178382,344593
2243,1705762,107930,363873
2244,1580931,104091,353329
2245,1798820,104018,423031
2246,1705307,103690,401921
2247,1713107,104518,355219
2248,1660392,105851,368842
2249,1626487,104518,449603
2250,1694750,104112,349356
2251,1720745,101912,370541
2252,1615431,104609,356013
2253,1683356,109405,358778
2254,1616145,104798,356125
2255,1595869,105117,355293
2256,1678847,105060,358382
2257,1612629,104872,357019
2258,1678896,122528,367538
2259,1694332,105729,357809
2260,1659387,105100,357852
2261,1634811,105914,357881
2262,1833808,139544,414717
2263,1813373,124773,588280
2264,1615733,105340,358140
2265,1657225,106085,360065
2266,1606930,102856,347151
2267,2092738,109180,373474
2268,1797510,115571,398961
2269,1780668,112083,400097
2270,1743160,109402,378171
2271,1769387,120231,387484
2272,1749118,103665,348610
2273,2033109,103612,348966
2274,1574791,103492,349458
2275,1909451,103444,350128
2276,1757961,103180,348136
2277,1619681,104063,350055
2278,1979955,109252,366722
2279,1665404,105901,351193
2280,1886963,129842,413621
2281,2634706,126453,448693
2282,2584465,218944,498697
2283,3514850,133487,573221
2284,1992909,122770,449701
2285,1634723,104117,351792
2286,2343625,138992,482518
2287,1702747,104945,354518
2288,1657862,104486,350534
2289,1758540,106302,395260
2290,1620934,127008,413285
2291,2109033,105239,352357
2292,1810360,145214,354027
2293,1776095,108095,434511
2294,1744405,108117,364602
2295,1605541,216887,572226
2296,1751772,111708,373989
2297,1950861,119144,404757
2298,1943368,193704,476813
2299,1903518,118020,396431
2300,1881777,121908,413537
2301,1706353,109068,500486
2302,1628356,105511,354353
2303,1721663,198747,435978
2304,1816604,167369,399971
2305,1845950,114990,409805
2306,1909422,123542,441589
2307,1792236,112712,374021
2308,1797961,130968,424841
2309,1874048,123193,471112
2310,2356091,203468,345903
2311,2004851,112627,375895
2312,2046282,106439,388215
2313,1641888,106510,355588
2314,1799848,106810,355195
2315,1689133,109457,682913
2316,1802869,120663,401322
2317,2190554,124350,412983
2318,2006906,152262,470192
2319,2105115,129853,441122
2320,1913037,113870,379910
2321,1738868,110328,435937
2322,1966374,107596,356893
2323,1645694,107612,356582
2324,1694976,110779,455890
2325,1733067,111335,367288
2326,1885762,166328,400842
2327,1832081,108141,357888
2328,1843224,111353,368620
2329,2460137,155823,392761
2330,2040177,108815,408618
2331,1680175,111181,368115
2332,1819367,112804,373257
2333,1743467,108623,357891
2334,2121772,163533,465174
2335,1706520,111775,370606
2336,1707507,111571,368316
2337,1934591,109140,360272
2338,1818531,108846,359652
2339,1667013,109113,359269
2340,1860522,109423,359987
2341,1667584,108969,358725
2342,1682962,109350,361049
2343,2242039,124922,362846
2344,1836135,109538,360085
2345,1679773,109822,360191
2346,1713464,108900,361447
2347,1949324,109605,360822
2348,1678141,109446,436987
2349,1819901,109508,361693
2350,1856429,109410,359432
2351,2173699,111923,363619
2352,1680980,109270,359269
2353,1911299,110309,362056
2354,1682779,110133,403730
2355,1781545,248405,427622
2356,2228999,171789,395048
2357,1967118,123760,447705
2358,1884362,159112,383612
2359,2197650,178674,466071
2360,1932198,145683,382309
2361,1762416,119242,386673
2362,1952796,113781,376667
2363,1786592,113809,372883
2364,1938055,113158,372894
2365,1772316,129984,363160
2366,1959731,114877,376318
2367,1948189,166955,414641
2368,2069043,110922,363782
2369,1752179,113617,373529
2370,1932953,117272,401283
2371,1981328,125287,409201
2372,1741100,112766,523982
2373,1759786,114094,374261
2374,1790250,161410,376011
2375,1825072,121176,396354
2376,1929646,115262,378316
2377,1853017,128860,418918
2378,1746356,125730,396773
2379,1759648,146369,576644
2380,1903334,112047,368008
2381,1721106,152590,480954
2382,1776157,115554,378533
2383,1779468,115150,376906
2384,1795531,112186,367891
2385,2071325,112554,368097
2386,1776595,114815,375919
2387,1779677,115509,408559
2388,2135175,112360,366375
2389,1731496,112827,366023
2390,1810264,113186,367011
2391,2073663,113838,487701
2392,1885843,124420,399148
2393,2195584,130790,448257
2394,1930846,153925,467785
2395,1910585,136191,446893
2396,1900540,116381,379429
2397,1984919,123828,403078
2398,2098469,152545,426761
2399,1825051,116645,378662
2400,2291388,115111,370145
2401,1755557,157004,369543
2402,2149233,115323,412652
2403,2135426,114878,370726
2404,1831685,117184,380775
2405,1857608,117808,383008
2406,1930973,117463,436094
2407,1978004,117638,381553
2408,1837633,117531,381341
2409,2299092,114680,585829
2410,1881652,114989,372901
2411,1866017,117900,381556
2412,1844060,117537,381606
2413,1855301,114012,369415
2414,1765791,114209,370270
2415,2004853,114373,370908
2416,1773542,114443,371086
2417,1885236,114518,371518
2418,1963270,114991,393522
2419,1776511,115238,480997
2420,2174955,115333,372262
2421,2011515,251916,580355
2422,1926082,118423,383615
2423,1854537,129995,383450
2424,1890788,134803,419993
2425,2038220,146567,428743
2426,2000922,126200,412961
2427,1988753,119737,406693
2428,2126923,137729,443977
2429,2243980,133888,436684
2430,2119002,134262,495243
2431,1934885,122309,395556
2432,1911559,127287,460032
2433,2045309,130108,419565
2434,2045614,123982,417606
2435,2002832,134337,433201
2436,2328666,152368,448499
2437,1958024,117284,376062
2438,1862460,116689,631750
2439,2194974,117259,462132
2440,2008011,119794,385131
2441,1906736,118435,395850
2442,2245805,117356,465532
2443,1945314,124205,404870
2444,1916636,121609,387819
2445,2169217,120396,387246
2446,1900224,120636,387677
2447,2078760,121034,389233
2448,1907300,121929,390106
2449,1914244,117775,374638
2450,2419089,121143,387846
2451,2079983,173895,402308
2452,2017662,120948,386975
2453,1875913,121551,386647
2454,1939834,121352,388611
2455,1871706,121257,386892
2456,1882067,121611,387945
2457,1881028,121413,388299
2458,1877601,121520,388701
2459,2085148,143201,390454
2460,2021919,196857,481899
2461,2037495,118617,377112
2462,1995256,121069,378921
2463,1881943,118578,401972
2464,2060252,119363,475818
2465,2105153,122353,389867
2466,1929820,148546,427534
2467,1933499,124735,395910
2468,2203647,140026,440190
2469,2114014,119825,548505
2470,2073742,130285,391639
2471,1920589,123712,393973
2472,1947864,123707,391039
2473,1920287,123658,391750
2474,2194375,120146,381249
2475,1962729,122481,459004
2476,1958915,124356,391269
2477,1972764,122819,411598
2478,1968231,123256,392808
2479,1946513,123192,392747
2480,2007354,122972,407400
2481,1998036,131098,473774
2482,1923828,129311,391389
2483,2085112,123611,410892
2484,1919226,127514,396673
2485,1965331,123715,393555
2486,1945014,123866,392257
2487,1868859,120342,535921
2488,2187342,120353,400565
2489,1933210,124206,392518
2490,2189806,138155,402500
2491,2104561,120963,383536
2492,1947532,120963,424620
2493,2098826,161182,432751
2494,1886598,121289,382896
2495,2127096,120767,384145
2496,2308813,174307,383917
2497,2096436,121053,401742
2498,2121560,132577,418615
2499,1993022,148691,532773
2500,2105349,121143,383801
2501,2448736,124954,397521
2502,2178796,153263,444566
2503,2219470,163640,576875
2504,2150500,140657,444799
2505,2229264,121788,385625
2506,1898449,146041,563034
2507,2569562,134426,396627
2508,1951706,125055,395454
2509,2580935,122747,385718
2510,2292848,219108,576919
2511,2020854,126433,412204
2512,1980749,128259,397032
2513,2150392,159998,473577
2514,2052575,127748,413121
2515,2150312,149894,496232
2516,2300328,140386,436581
2517,2168722,156649,447027
2518,2105304,126315,408535
2519,2006524,126327,400507
2520,2022407,126735,401215
2521,2110358,140165,433757
2522,2156970,138159,469661
2523,2103614,127106,408723
2524,2090917,138062,491905
2525,2068069,133900,451311
2526,2217247,141874,447577
2527,2320470,123099,410799
2528,2153588,138184,433485
2529,2128265,126860,407577
2530,2226655,158810,446030
2531,2224081,147518,462854
2532,2194999,127775,432341
2533,2215102,131181,451702
2534,2054855,123801,412187
2535,1998390,127454,400193
2536,2027453,127473,391553
2537,2070648,128515,506797
2538,2075340,121751,379945
2539,2667477,247056,494983
2540,2271344,124738,391114
2541,2365653,130315,407364
2542,2145046,128665,408814
2543,2193034,125843,393179
2544,2350177,124681,413188
2545,2051377,129554,403983
2546,2052811,130712,398232
2547,2136237,125816,479695
2548,2342640,166620,487460
2549,2064893,132304,415016
2550,2064047,145413,402904
2551,2040153,128743,405538
2552,2085057,128489,402898
2553,2211389,130156,410814
2554,2218785,146564,466639
2555,2479099,166853,489948
2556,2269472,160801,404362
2557,2248990,145160,453286
2558,2675952,140996,449098
2559,2130457,128434,402257
2560,2037359,125140,391450
2561,1987975,125878,393020
2562,1975951,125827,393698
2563,2233630,125716,394174
2564,2150549,125987,523760
2565,2349789,126158,395898
2566,2240264,150693,417450
2567,2072049,130210,412407
2568,2131087,130128,405997
2569,2055664,132662,408617
2570,2141663,137803,457889
2571,2398321,166010,459557
2572,2805704,152006,513321
2573,2231170,135246,504989
2574,2119967,127258,394579
2575,2174188,131042,408224
2576,2281285,130716,407023
2577,2080062,138276,448060
2578,2177606,131848,406858
2579,2235199,139402,431874
2580,2168822,166759,410261
2581,2062172,146993,431612
2582,2494767,131751,405444
2583,2198947,132256,408868
2584,2288944,144927,470915
2585,2040104,128442,397417
2586,2262598,132175,414390
2587,2084968,155009,409578
2588,2022156,127974,397852
2589,2153067,128284,399499
2590,2067153,130213,646476
2591,2120103,132232,428416
2592,2190514,128697,398308
2593,2068067,136256,435238
2594,2241159,170828,467126
2595,2029920,129048,399323
2596,2509028,170168,418126
2597,2256527,149417,463506
2598,2360020,148834,484244
2599,2175004,145521,400260
2600,2415182,149451,424870
2601,2078057,145653,426887
2602,2094396,132907,411322
2603,2119010,129638,399859
2604,2281238,141636,434528
2605,2487689,154777,480477
2606,2422663,151496,465461
2607,2440917,145447,461705
2608,2288260,130258,402925
2609,2086356,129715,400058
2610,2086224,130961,407546
2611,2505113,133939,415219
2612,2325850,134455,415669
2613,2233064,134035,417097
2614,2114219,133943,412711
2615,2143418,152493,468897
2616,2507521,134256,415437
2617,2305207,134433,438235
2618,2194079,134422,415342
2619,2262234,134281,414364
2620,2191845,138927,471753
2621,2240524,131132,720859
2622,2408405,178362,431984
2623,2139693,134157,415315
2624,2262012,142254,489733
2625,2204028,134202,414020
2626,2373059,130592,405134
2627,2130289,171275,403316
2628,2123596,130891,403639
2629,2145196,134838,414655
2630,2140806,135160,415895
2631,2410246,138651,611361
2632,3580138,190662,641519
2633,3319318,139585,553718
2634,2393438,132954,426225
2635,2153276,134620,415230
2636,2184520,150245,418213
2637,2339140,143830,457296
2638,2592375,153505,459266
2639,2579612,174637,510448
2640,2298757,139472,437591
2641,2380975,152632,469002
2642,2330892,137909,418625
2643,2370008,140736,433812
2644,2556160,133012,409001
2645,2386487,138360,425672
2646,2199727,136604,474408
2647,2341854,137105,419566
2648,2189433,137123,420063
2649,2418238,136671,419187
2650,2263579,137197,419663
2651,2239313,137737,526133
2652,2446500,250894,532493
2653,2339853,133452,408957
2654,2631427,133804,409862
2655,2296520,137591,426078
2656,2198261,137016,419775
2657,2170497,133675,640948
2658,2171481,137413,420980
2659,2268184,137718,454280
2660,2137078,134278,409020
2661,2144026,138520,422627
2662,2375904,150798,467640
2663,2434988,142379,434453
2664,2594840,134582,412082
2665,2331153,146584,445537
2666,2655520,136445,412813
2667,2141299,134572,411175
2668,2134700,135289,411593
2669,2141312,135507,484100
2670,2412295,165291,435317
2671,2367526,139536,530645
2672,2274265,135407,412823
2673,2257751,138901,423642
2674,2273447,138882,423906
2675,2618636,136154,442294
2676,2212399,139819,425994
2677,2241326,141712,432204
2678,2548635,183831,528954
2679,2458530,142049,432888
2680,2222569,139248,466465
2681,2269426,148876,428036
2682,2225311,139273,425147
2683,2306141,143096,438856
2684,2224078,139454,424906
2685,2263260,139739,440760
2686,2579939,173577,537986
2687,2169578,136045,414654
2688,2182238,137101,431896
2689,2537974,155571,464753
2690,2444513,152105,465358
2691,2589778,154090,468153
2692,2481720,158284,481071
2693,2523201,149744,474318
2694,2554347,148705,464159
2695,3040152,222318,433351
2696,2180733,138220,417583
2697,2501966,137514,417068
2698,2313575,141035,431974
2699,2249539,140884,426860
2700,2322495,142155,430869
2701,2287957,145839,460684
2702,2548389,144980,453482
2703,2441184,147523,492933
2704,2671540,145990,455276
2705,2249040,138307,493031
2706,2194993,137555,574427
2707,2471040,155612,419896
2708,2649253,139876,531726
2709,2525053,143850,433950
2710,2271011,142369,431395
2711,2315245,153860,444316
2712,2353595,142910,435612
2713,2425661,142095,432674
2714,2271716,142175,430508
2715,2413447,142183,445415
2716,2534573,143323,455654
2717,2360965,138909,420307
2718,2362296,142955,479189
2719,2329095,142698,432377
2720,2467228,147436,451860
2721,2452521,157151,475461
2722,2687119,157337,476636
2723,2525402,143962,434637
2724,2582314,162206,486321
2725,2775647,157422,475408
2726,2751324,166805,459751
2727,2421276,140077,465881
2728,2325658,151554,492042
2729,2303544,143988,431456
2730,2312735,139943,420558
2731,2289525,139486,420974
2732,2639636,140240,421270
2733,2260877,143871,432748
2734,2497134,165285,754464
2735,2428353,168865,433515
2736,2467557,180897,478516
2737,2312585,143671,434664
2738,2417540,139899,422923
2739,2460293,140859,423251
2740,2457519,145296,453214
2741,2332860,144951,434866
2742,2378296,145070,455202
2743,2381216,145262,435113
2744,2466207,144908,455721
2745,2540496,169153,477374
2746,2561567,141119,433041
2747,2263900,141200,423876
2748,2598974,140820,465664
2749,2396607,145141,447864
2750,2343084,145341,438207
2751,2464545,202065,424700
2752,2474811,144869,444991
2753,2331974,145269,434676
2754,2387606,144934,435794
2755,2335265,141064,425053
2756,2684800,206406,453937
2757,2457225,141818,425914
2758,2521039,145345,436484
2759,2388562,146059,437073
2760,2788133,141646,425188
2761,2568911,142481,566722
2762,2943621,238335,527109
2763,2523767,172917,452929
2764,2593022,162489,477123
2765,2630066,168358,498807
2766,2851939,170488,510357
2767,2938730,160253,480323
2768,2396088,146066,494238
2769,2434322,150460,472452
2770,2636925,155403,490297
2771,2477342,147104,465746
2772,2367404,147210,448825
2773,2476172,147197,466843
2774,2375648,146878,438491
2775,2452785,144200,428762
2776,2889329,144998,608010
2777,2933532,155714,466235
2778,2534888,165512,441820
2779,2644381,143466,429646
2780,2597673,143190,428563
2781,2441177,152331,468809
2782,2702480,170772,509973
2783,2630341,143137,428834
2784,2573387,142997,426643
2785,2322492,143510,428416
2786,2746079,254275,546060
2787,2470556,144022,427316
2788,2361077,144171,428798
2789,2337596,143957,428445
2790,2597601,143956,428772
2791,2597320,144157,526109
2792,2538843,144288,429962
2793,2405283,148434,441041
2794,2629834,176025,483547
2795,2750104,178855,592586
2796,2936325,198455,551744
2797,2916337,167656,502846
2798,2583983,144506,430949
2799,2829338,149310,443931
2800,2624415,145254,469644
2801,2604513,180779,553517
2802,2627909,145103,432427
2803,2468309,159030,444302
2804,2652574,219878,483912
2805,2903033,216289,517029
2806,2528189,152676,451166
2807,2719248,189309,500579
2808,2752867,149390,455960
2809,2433262,150146,443829
2810,2707500,145580,582871
2811,2754511,162623,445255
2812,2701426,158450,478122
2813,2369251,145219,432337
2814,2680608,146589,433733
2815,2577501,227471,493145
2816,2604874,145605,431851
2817,2644806,145787,471072
2818,2381513,146093,432324
2819,2433875,146219,433739
2820,2653128,227608,435119
2821,3144187,150365,540384
2822,2671328,150186,444402
2823,2477117,150729,501378
2824,2431018,155834,485929
2825,2443004,146883,509127
2826,2860157,151764,446794
2827,2530325,150777,448839
2828,2512091,155613,511202
2829,2505634,147193,542281
2830,3169221,147250,659509
2831,2583015,152004,450730
2832,2470428,148410,439045
2833,2706412,249371,466890
2834,2754616,151625,447479
2835,2598425,158664,452544
2836,2896797,148430,461027
2837,2528458,152322,467592
2838,2492108,151622,471693
2839,2527937,152167,449307
2840,2579165,151881,450321
2841,2730108,148528,437609
2842,2630046,153177,480419
2843,2592483,185043,495485
2844,2793792,171288,512223
2845,2434419,147982,437483
2846,3022940,151621,456306
2847,2660782,169566,521117
2848,2511698,153080,450882
2849,2543708,152346,450310
2850,2459346,149428,438667
2851,2433148,164143,451016
2852,2593433,148895,438700
2853,2566879,153787,454287
2854,2514415,148988,440200
2855,2725405,154656,491933
2856,2630737,172047,465505
2857,2667220,166943,479022
2858,2876499,164345,481422
2859,3024854,187014,495372
2860,2715533,159521,464254
2861,2551245,161712,454212
2862,2603310,153705,463080
2863,2583601,169076,481229
2864,2942004,188000,551605
2865,2798153,163197,473897
2866,2570931,153850,468564
2867,2590931,154708,453953
2868,2585997,162098,470871
2869,3229533,151396,529841
2870,2966136,154552,459965
2871,2532184,154854,457219
2872,2714651,150574,442538
2873,2573821,164084,501930
2874,2773813,151165,441727
2875,2836069,215679,785602
2876,2540822,155231,505672
2877,2546233,154279,454833
2878,2543716,154942,456807
2879,2600465,151199,443405
2880,2989020,359542,546369
2881,2557014,155185,476691
2882,2601520,151224,481667
2883,2612471,151616,444588
2884,2940001,151812,446269
2885,2723131,196738,457740
2886,2996628,172402,499354
2887,2846457,156392,460347
2888,2683140,153798,446665
2889,3000227,162592,483778
2890,2621499,155750,457270
2891,2867259,151574,446477
2892,2569217,156719,461873
2893,2864152,170939,499939
2894,2663513,156832,458969
2895,2605962,156337,460123
2896,2735741,162687,470582
2897,2575999,157103,457788
2898,3211099,245833,632738
2899,2878509,157215,459491
2900,2580241,226761,634159
2901,2598283,162567,519476
2902,2616582,172425,484868
2903,2653459,156974,469102
2904,2807506,157880,514885
2905,2848078,203808,448010
2906,3170505,158233,460357
2907,2717738,186814,518486
2908,2663128,153648,448012
2909,2619606,157301,483453
2910,2677615,157769,462000
2911,2732654,153521,448686
2912,3097609,153858,448962
2913,2805908,178930,577119
2914,3057122,173032,604181
2915,3034120,193820,551791
2916,2623864,185227,525915
2917,2786054,159356,475156
2918,3028125,179977,478829
2919,2864347,165806,480930
2920,2775865,162796,466762
2921,2819087,171221,501920
2922,2974904,184120,557997
2923,2903744,176002,464421
2924,2688092,170844,492734
2925,2640711,158424,464071
2926,3056447,211895,606193
2927,2963224,159440,465061
2928,2730677,180467,749641
2929,2880228,206626,466117
2930,2869911,208468,580045
2931,4632494,189111,563315
2932,3286875,179495,523816
2933,3001855,188742,524054
2934,2910102,194894,492914
2935,2860098,284857,472952
2936,2643096,161223,466429
2937,2767159,155138,453048
2938,2573886,154981,453296
2939,2864750,157183,549623
2940,2685876,193449,507570
2941,3025460,175430,515024
2942,3014077,162501,479889
2943,2747542,159857,561149
2944,2819944,187302,508377
2945,2768773,160806,466453
2946,2747408,161157,476278
2947,2683586,160752,466513
2948,2818895,177841,485811
2949,2837641,157142,454926
2950,3063899,159435,478478
2951,2661435,161609,467341
2952,2772334,170335,511667
2953,3025904,174657,599151
2954,2686379,161664,467689
2955,2744660,161977,473098
2956,2880685,161657,467437
2957,2693667,161608,467637
2958,2678373,157632,577337
2959,2611511,156244,454893
2960,2998213,157038,457686
2961,2953108,162917,469726
2962,2688541,162452,507914
2963,2932638,158080,637184
2964,2687966,162563,469087
2965,2717912,204254,457295
2966,2844697,157934,458327
2967,2857940,177086,515185
2968,3008077,158267,461741
2969,2708730,204671,460952
2970,2909558,222722,586789
2971,2728309,163240,471187
2972,2749259,163240,470919
2973,2730602,164309,515412
2974,2730823,162884,495328
2975,2927320,177866,521827
2976,3014674,189990,549320
2977,3002296,175031,551721
2978,2956378,184664,531764
2979,2933285,300923,568279
2980,2763145,160160,461830
2981,2769354,159209,460202
2982,3247380,162844,481838
2983,2927202,164508,474061
2984,2730696,163293,471490
2985,3009215,159287,461007
2986,2656951,160006,541715
2987,2692531,159729,460680
2988,3444853,160183,545116
2989,2734352,165880,478089
2990,2805378,160646,460778
2991,3236168,160385,462832
2992,2929366,166819,498625
2993,2833535,167469,476311
2994,2787664,164738,497458
2995,3071623,185255,561064
2996,3118702,185976,576761
2997,3374667,192496,571079
2998,2856385,165574,475286
2999,2784969,180704,489869
3000,2911061,161304,464788
3001,3283434,266415,468534
3002,2686654,240178,493420
3003,2796661,165247,476264
3004,3070433,178101,765460
3005,2779604,165128,477374
3006,2787221,178328,490397
3007,2986992,161092,464779
3008,3189497,302171,614860
3009,3189362,190385,581244
3010,2948347,174136,574564
3011,3036094,166347,480054
3012,3110877,175058,506495
3013,2989093,182860,530897
3014,3020830,176839,509746
3015,3050809,176792,535559
3016,3172452,193648,587967
3017,3048155,166443,485339
3018,3036844,176838,508088
3019,3291577,212015,626587
3020,3066594,171442,532771
3021,2928983,182008,525140
3022,3451837,195213,640466
3023,3226063,213630,627894
3024,3331633,204207,524370
3025,3218906,194650,594183
3026,2799193,162177,544884
3027,3004690,227338,642490
3028,2846000,162889,467044
3029,2876441,178219,495551
3030,2897248,167110,480429
3031,2962452,168052,493235
3032,3016631,168973,534397
3033,3115948,189636,542197
3034,3319171,222850,564386
3035,3502989,213114,565454
3036,3148000,167999,559615
3037,3119328,182823,508003
3038,3078974,177862,530033
3039,3156664,195123,557975
3040,2938013,163934,470628
3041,2879162,163815,557271
3042,2750149,163191,469417
3043,2945260,165049,468016
3044,3173262,317000,617080
3045,2817241,232300,482803
3046,2973627,178085,509472
3047,3016760,164483,467775
3048,2779394,166030,473424
3049,3035735,159642,458846
3050,3085544,193612,542049
3051,3297291,189897,546711
3052,3382523,195830,582063
3053,3108241,187236,481271
3054,3844048,215290,552382
3055,2937039,169290,483539
3056,3157064,165467,573898
